index,cultivable,predicted_class,conf
8354,0,non-cultivable,0.888
20592,1,cultivable,0.939
10951,1,cultivable,0.974
5806,0,non-cultivable,1.000
7870,0,non-cultivable,1.000
10357,0,non-cultivable,0.843
4837,0,non-cultivable,1.000
23403,0,non-cultivable,0.877
2522,0,non-cultivable,0.788
23859,0,non-cultivable,0.627
21436,0,non-cultivable,1.000
12189,1,cultivable,0.999
8709,0,non-cultivable,0.957
2664,0,non-cultivable,0.949
20769,0,non-cultivable,0.512
10521,0,non-cultivable,1.000
23320,0,non-cultivable,0.893
4603,0,non-cultivable,0.561
10599,1,cultivable,0.790
15153,0,non-cultivable,1.000
11283,1,cultivable,0.835
11480,0,non-cultivable,0.998
14794,0,non-cultivable,1.000
25882,1,cultivable,0.562
22531,0,non-cultivable,0.920
16276,0,non-cultivable,1.000
1439,1,cultivable,0.988
5818,0,non-cultivable,1.000
1622,0,non-cultivable,0.949
21176,1,cultivable,0.909
12205,1,cultivable,0.574
9651,1,cultivable,0.831
4136,0,non-cultivable,0.525
4849,1,cultivable,0.847
11343,0,non-cultivable,1.000
24175,0,non-cultivable,0.951
3115,1,cultivable,0.822
23426,0,non-cultivable,0.979
14062,0,non-cultivable,1.000
25619,1,cultivable,0.980
26344,1,cultivable,1.000
4314,0,non-cultivable,0.995
7320,1,cultivable,0.950
24516,0,non-cultivable,0.935
11709,1,cultivable,0.929
19497,1,cultivable,0.961
19603,0,non-cultivable,1.000
15163,1,cultivable,0.989
6963,0,non-cultivable,1.000
15556,0,non-cultivable,1.000
11612,0,non-cultivable,1.000
14835,0,non-cultivable,0.998
11763,1,cultivable,1.000
17423,0,non-cultivable,0.933
14767,1,cultivable,0.564
5323,0,non-cultivable,0.999
18891,0,non-cultivable,1.000
4920,1,cultivable,0.957
19674,0,non-cultivable,0.959
4370,1,cultivable,0.972
25598,0,non-cultivable,0.919
17924,1,cultivable,0.801
14553,0,non-cultivable,1.000
13906,0,non-cultivable,0.984
23836,1,cultivable,0.899
12609,0,non-cultivable,0.993
333,1,cultivable,0.985
4195,0,non-cultivable,0.755
20176,0,non-cultivable,1.000
23925,0,non-cultivable,0.912
2899,1,cultivable,0.918
13651,0,non-cultivable,0.997
16625,1,cultivable,0.688
16028,1,cultivable,0.907
22554,1,cultivable,0.507
19219,1,cultivable,0.778
12227,0,non-cultivable,0.735
11396,0,non-cultivable,0.876
5305,0,non-cultivable,0.963
3330,0,non-cultivable,0.985
10748,0,non-cultivable,0.921
9546,0,non-cultivable,0.542
22726,1,cultivable,0.922
15705,1,cultivable,0.792
5135,1,cultivable,0.561
23117,1,cultivable,0.695
1770,1,cultivable,0.654
7078,1,cultivable,0.972
9529,1,cultivable,0.512
15975,1,cultivable,0.564
9247,0,non-cultivable,0.973
408,1,cultivable,0.984
17829,0,non-cultivable,0.998
20909,1,cultivable,0.806
6036,0,non-cultivable,1.000
25273,1,cultivable,0.998
5740,0,non-cultivable,0.908
217,0,non-cultivable,1.000
13146,0,non-cultivable,1.000
11103,0,non-cultivable,0.998
21054,0,non-cultivable,1.000
14384,0,non-cultivable,0.973
713,1,cultivable,0.966
21936,1,cultivable,0.999
5608,0,non-cultivable,0.976
10589,0,non-cultivable,0.886
3194,1,cultivable,0.738
17364,1,cultivable,0.835
16931,0,non-cultivable,0.929
5689,1,cultivable,0.962
6417,1,cultivable,0.975
10220,1,cultivable,0.998
21447,0,non-cultivable,1.000
5558,1,cultivable,0.902
8946,0,non-cultivable,0.806
20149,0,non-cultivable,1.000
18174,0,non-cultivable,0.977
23600,0,non-cultivable,0.809
9855,1,cultivable,0.622
4230,0,non-cultivable,0.999
18510,0,non-cultivable,1.000
3895,0,non-cultivable,0.847
18541,0,non-cultivable,0.923
16979,1,cultivable,0.894
20139,0,non-cultivable,1.000
10653,0,non-cultivable,0.998
16519,1,cultivable,0.769
13205,0,non-cultivable,0.983
4745,0,non-cultivable,0.526
13149,0,non-cultivable,1.000
23283,0,non-cultivable,0.839
16938,1,cultivable,0.504
146,0,non-cultivable,0.999
4397,0,non-cultivable,0.877
4982,0,non-cultivable,0.982
12207,0,non-cultivable,0.672
11355,0,non-cultivable,0.986
21095,0,non-cultivable,0.593
25516,0,non-cultivable,0.535
9097,1,cultivable,0.984
26761,1,cultivable,1.000
25058,1,cultivable,1.000
1712,1,cultivable,0.706
6035,0,non-cultivable,1.000
6213,1,cultivable,0.830
7967,1,cultivable,0.975
3288,1,cultivable,0.960
2317,0,non-cultivable,0.629
20354,0,non-cultivable,1.000
14727,0,non-cultivable,0.988
22845,1,cultivable,0.768
24388,0,non-cultivable,0.625
15992,0,non-cultivable,0.917
15082,0,non-cultivable,0.999
5451,1,cultivable,0.717
14454,1,cultivable,0.986
18600,0,non-cultivable,0.617
4485,0,non-cultivable,1.000
3304,0,non-cultivable,0.842
18138,0,non-cultivable,1.000
16523,1,cultivable,0.917
16937,1,cultivable,0.950
18470,0,non-cultivable,0.790
19838,0,non-cultivable,0.945
51,0,non-cultivable,1.000
25248,1,cultivable,1.000
20853,1,cultivable,0.829
20851,0,non-cultivable,0.838
26096,1,cultivable,1.000
12875,0,non-cultivable,1.000
21982,0,non-cultivable,1.000
14331,0,non-cultivable,1.000
21786,1,cultivable,0.738
3034,1,cultivable,0.955
870,1,cultivable,0.998
12701,0,non-cultivable,0.505
1861,0,non-cultivable,1.000
25829,0,non-cultivable,0.976
1051,1,cultivable,0.983
5667,0,non-cultivable,1.000
17147,0,non-cultivable,1.000
20770,1,cultivable,0.820
22173,1,cultivable,0.955
13071,0,non-cultivable,1.000
21292,1,cultivable,0.803
15932,0,non-cultivable,0.556
3700,0,non-cultivable,0.891
23591,0,non-cultivable,0.781
9868,0,non-cultivable,0.822
24020,0,non-cultivable,0.997
20746,0,non-cultivable,0.971
8094,0,non-cultivable,0.979
3814,0,non-cultivable,0.990
18343,0,non-cultivable,1.000
25056,1,cultivable,1.000
6012,0,non-cultivable,0.738
4468,0,non-cultivable,1.000
23224,0,non-cultivable,0.750
24613,0,non-cultivable,0.527
11349,0,non-cultivable,1.000
21152,0,non-cultivable,1.000
21957,0,non-cultivable,0.991
23225,0,non-cultivable,0.506
21734,1,cultivable,0.992
5053,0,non-cultivable,1.000
9939,0,non-cultivable,0.989
8078,0,non-cultivable,0.951
24725,0,non-cultivable,0.989
8485,1,cultivable,0.732
11857,0,non-cultivable,0.999
8353,0,non-cultivable,0.857
15335,0,non-cultivable,0.990
3800,1,cultivable,0.947
24619,1,cultivable,0.510
13308,0,non-cultivable,1.000
19388,1,cultivable,0.604
12088,0,non-cultivable,0.997
14115,0,non-cultivable,0.974
14140,0,non-cultivable,0.999
13517,0,non-cultivable,0.830
2325,0,non-cultivable,1.000
5176,0,non-cultivable,0.998
251,1,cultivable,0.999
239,0,non-cultivable,1.000
19099,1,cultivable,0.816
26379,0,non-cultivable,0.926
20704,0,non-cultivable,1.000
3472,1,cultivable,0.934
5590,1,cultivable,0.698
2687,0,non-cultivable,0.999
12959,0,non-cultivable,0.536
25209,1,cultivable,1.000
20940,1,cultivable,0.943
16789,0,non-cultivable,0.993
11242,0,non-cultivable,1.000
4575,1,cultivable,0.969
22915,1,cultivable,0.689
3323,1,cultivable,0.995
15699,0,non-cultivable,0.981
20738,0,non-cultivable,0.948
5189,1,cultivable,0.969
20673,0,non-cultivable,0.967
21246,0,non-cultivable,0.996
25825,0,non-cultivable,0.784
21745,0,non-cultivable,0.698
6200,1,cultivable,0.977
13019,0,non-cultivable,0.600
13354,0,non-cultivable,0.999
18000,0,non-cultivable,0.648
26721,1,cultivable,1.000
2280,1,cultivable,0.934
15809,1,cultivable,0.988
26810,1,cultivable,0.646
25680,1,cultivable,0.972
942,0,non-cultivable,0.997
15099,0,non-cultivable,0.999
13481,1,cultivable,0.551
6738,0,non-cultivable,1.000
8943,0,non-cultivable,0.996
17176,1,cultivable,0.616
13959,1,cultivable,0.749
14071,0,non-cultivable,0.995
9443,0,non-cultivable,1.000
13133,0,non-cultivable,0.981
1828,1,cultivable,0.989
9562,1,cultivable,0.991
10109,0,non-cultivable,0.992
8997,1,cultivable,0.962
22116,1,cultivable,0.863
17477,0,non-cultivable,0.970
22722,1,cultivable,0.996
13865,0,non-cultivable,1.000
26691,1,cultivable,0.807
22956,1,cultivable,0.549
3206,0,non-cultivable,0.999
17490,0,non-cultivable,0.999
7039,0,non-cultivable,0.983
12946,1,cultivable,0.815
1231,1,cultivable,0.945
3564,0,non-cultivable,0.857
25394,1,cultivable,0.671
7491,0,non-cultivable,0.794
24336,0,non-cultivable,0.763
22815,1,cultivable,0.712
12244,0,non-cultivable,0.622
11432,1,cultivable,0.956
16428,0,non-cultivable,0.584
4165,0,non-cultivable,1.000
11537,0,non-cultivable,1.000
16602,0,non-cultivable,0.785
758,1,cultivable,0.652
586,1,cultivable,0.984
24580,0,non-cultivable,0.768
25739,1,cultivable,1.000
4492,0,non-cultivable,0.996
18809,0,non-cultivable,0.755
6168,0,non-cultivable,0.977
26222,1,cultivable,0.958
20977,1,cultivable,0.752
15467,1,cultivable,0.909
23132,0,non-cultivable,0.606
524,0,non-cultivable,0.735
4889,0,non-cultivable,1.000
7644,0,non-cultivable,0.999
12754,1,cultivable,0.690
3793,1,cultivable,0.863
26214,1,cultivable,1.000
5128,0,non-cultivable,0.988
